QRCode;Linha;OP;Produto;Descrição;Sintoma;Origem;Qtd.;Usuário_Solicitante;Dt.Solicitação;Usuário_Aprov/Reprov;Dt.Aprov/Reprov;Status
9407;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISORTRINCADO;Fornecedor;11;henrique.rocha;31/10/202216:28:37;gabriel.trusman;01/11/202207:31:47;Aprovado
9413;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISOR C/ FALHA INJEÇÃO;Fornecedor;5;henrique.rocha;31/10/202216:33:03;gabriel.trusman;01/11/202207:31:50;Aprovado
9415;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISORCOMMANCHA;Fornecedor;1;henrique.rocha;31/10/202216:34:26;gabriel.trusman;01/11/202207:32:03;Aprovado
9423;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISORCOMRISCO;Fornecedor;4;henrique.rocha;31/10/202216:41:24;gabriel.trusman;01/11/202207:32:05;Aprovado
9424;GABINETE01;2310;2002090100N0009;GABINETE DE PLASTICO FRONTAL D195;GABINETEDANIFICADO;Fornecedor;1;henrique.rocha;31/10/202216:42:36;gabriel.trusman;01/11/202207:32:07;Aprovado
9425;GABINETE01;2305;2002090100N1002;GABINETEFRONTALD195GETNET;GABINETEC/FALHAINJEďż˝ďż˝OPLAST;Fornecedor;1;henrique.rocha;31/10/202216:45:20;gabriel.trusman;01/11/202207:32:10;Aprovado
9426;GABINETE01;2310;200209030000350;PlasticsD195LCD;FALHANASERIGRAFIA;Fornecedor;2;henrique.rocha;31/10/202216:46:34;gabriel.trusman;01/11/202207:32:12;Aprovado
9428;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISOR C/ FALHA INJEÇÃO;Fornecedor;1;henrique.rocha;31/10/202216:48:24;gabriel.trusman;01/11/202207:32:16;Aprovado
9431;GABINETE01;2306;2002090100N0069;GABINETEFRONTALDEPLASTICOS920PRETO17LB;GABINETEDANIFICADO;Fornecedor;1;henrique.rocha;31/10/202216:52:11;gabriel.trusman;01/11/202207:32:19;Aprovado
9433;GABINETE01;2310;20010117CAD0002;PLACADECIRCUITOIMPRESSOMONTADAD195CLANTV03MONTADACALLIDUS;ANTENADANIFICADA;FasePSA;5;henrique.rocha;31/10/202216:53:57;gabriel.trusman;01/11/202207:32:21;Aprovado
9435;GABINETE01;2310;200209030000350;PlasticsD195LCD;VISORCOMRISCO;FasePSA9;henrique.rocha;31/10/202217:01:52;gabriel.trusman;01/11/202207:32:24;Aprovado
9463;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;IMAGEMANORMAL;Yamada;5;ana.cardoso;01/11/202208:45:10;Deine.Costa;04/11/202209:48:46;Aprovado
9464;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;TOUCHSCREENNďż˝OATUA(TP);Yamada;6;ana.cardoso;01/11/202208:45:39;Deine.Costa;04/11/202209:48:50;Aprovado
9465;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;GABINETEESPANADO;FasePSA;2;ana.cardoso;01/11/202208:46:28;Deine.Costa;04/11/202209:48:53;Aprovado
9466;PSALINHA04;2286;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;TOUCHSCREENNďż˝OATUA(TP);PaxChina;4;alessandro.azevedo;01/11/202208:46:40;Deine.Costa;04/11/202209:51:31;Aprovado
9467;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;VISORDANIFICADO;FasePSA;2;ana.cardoso;01/11/202208:47:16;Deine.Costa;04/11/202209:48:54;Aprovado
9471;PSALINHA04;2286;200209020000003;CONJ.GABINETETRASEIROQ92SPAGSEGUROMONTADO;SEMďż˝UDIO;PaxChina;1;alessandro.azevedo;01/11/202208:48:25;Deine.Costa;04/11/202209:51:41;Aprovado
9472;PSALINHA04;2286;200209020000003;CONJ.GABINETETRASEIROQ92SPAGSEGUROMONTADO;CORFORADOPADRďż˝O;Yamada;1;alessandro.azevedo;01/11/202208:48:52;Deine.Costa;04/11/202209:51:50;Aprovado
9473;PSALINHA04;2286;200212000000420;ANTENAQ92V24GMAINV01.FPCYIJIA;COMPONENTEPSADANIFICADO;Retrabalho;1;alessandro.azevedo;01/11/202208:49:32;Deine.Costa;04/11/202209:51:53;Aprovado
9474;PSALINHA04;2286;200212000000421;ANTENAQ92V24GDIVV01.FPCYIJIA;COMPONENTEPSADANIFICADO;Retrabalho;1;alessandro.azevedo;01/11/202208:49:52;Deine.Costa;04/11/202209:51:57;Aprovado
9475;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;TOUCHSCREENNďż˝OATUA(TP);Yamada;8;ana.cardoso;01/11/202208:54:44;Deine.Costa;04/11/202209:48:55;Aprovado
9476;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;IMAGEMANORMAL;Yamada;1;ana.cardoso;01/11/202208:55:12;Deine.Costa;04/11/202209:48:56;Aprovado
9477;PSALINHA04;2286;200209120000276;Q92blackprinterbracketBRPCABS;COMPONENTEPSADANIFICADO;FasePSA;2;alessandro.azevedo;01/11/202208:55:33;Deine.Costa;04/11/202209:52:04;Aprovado
9478;PSALINHA08;2298;200209010000002;CONJ. GABINETE FRONTAL Q92S PAG SEGURO MONTADO;TOUCHSCREENNďż˝OATUA(TP);Yamada;1;ana.cardoso;01/11/202208:55:49;Deine.Costa;04/11/202209:48:57;Aprovado
9479;PSALINHA04;2286;200212000000420;ANTENAQ92V24GMAINV01.FPCYIJIA;COMPONENTEFORADOPADRďż˝O;PaxChina;1;alessandro.azevedo;01/11/202208:55:59;Deine.Costa;04/11/202209:52:00;Aprovado
9480;PSALINHA08;2298;200203020000058;MECANISMODEIMPRESSAOTERMICALINEARPT48DHLVH3.3V12MADE67.3X18;COMPONENTEFORADOPADRďż˝O;EngdeProcesso;3;ana.cardoso;01/11/202208:56:24;Deine.Costa;04/11/202209:48:58;Aprovado
9481;PSALINHA08;2298;200101990000700;CABECAMAGFPCV11Q92S;COMPONENTEFORADOPADRďż˝O;FasePSA;4;ana.cardoso;01/11/202208:57:07;Deine.Costa;04/11/202209:49:00;Aprovado
9482;PSALINHA08;2298;200101990000700;CABECAMAGFPCV11Q92S;COMPONENTEFORADOPADRďż˝O;Fornecedor;4;ana.cardoso;01/11/202208:57:30;Deine.Costa;04/11/202209:49:01;Aprovado
9483;PSALINHA08;2298;200209050000562;TECLADOKEYPADQ92SPAGSEGURO;COMPONENTEFORADOPADRďż˝O;Fornecedor;2;ana.cardoso;01/11/202208:58:07;Deine.Costa;04/11/202209:49:02;Aprovado
9484;PSALINHA08;2298;200499000000394;Q92RFContactlessANTENNA;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;ana.cardoso;01/11/202208:58:53;Deine.Costa;04/11/202209:49:05;Aprovado
9485;PSALINHA08;2298;200405000000313;Q92V2KEYDOMEDOUBLEKEYMESH;COMPONENTEFORADOPADRďż˝O;Fornecedor;2;ana.cardoso;01/11/202208:59:23;Deine.Costa;04/11/202209:49:06;Aprovado
9486;PSALINHA08;2298;20010101CAD0135;PLACADECIRCUITOIMPRESSOMONTADAQ92SMAINV14PAGSEGURO;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;ana.cardoso;01/11/202209:00:41;Deine.Costa;04/11/202209:49:07;Aprovado
9487;PSALINHA08;2298;20010118CAD0016;PLACADECIRCUITOIMPRESSOMONTADAQ92SPORTV12;COMPONENTEFORADOPADRďż˝O;FasePSA;1;ana.cardoso;01/11/202209:01:10;Deine.Costa;04/11/202209:49:08;Aprovado
9488;PSALINHA08;2298;200212000000421;ANTENAQ92V24GDIVV01.FPCYIJIA;COMPONENTEFORADOPADRďż˝O;Fornecedor;3;ana.cardoso;01/11/202209:06:45;Deine.Costa;04/11/202209:49:09;Aprovado
9489;PSALINHA08;2298;200212000000422;ANTENAQ92V22.45.81.575GHzV01.FPCCableIPEXYIJIA;COMPONENTEFORADOPADRďż˝O;Fornecedor;3;ana.cardoso;01/11/202209:07:23;Deine.Costa;04/11/202209:49:11;Aprovado
9490;PSALINHA08;2298;200212000000422;ANTENAQ92V22.45.81.575GHzV01.FPCCableIPEXYIJIA;COMPONENTEFORADOPADRďż˝O;FasePSA;1;ana.cardoso;01/11/202209:07:49;Deine.Costa;04/11/202209:49:13;Aprovado
9491;PSALINHA08;2298;300100070000372;Q92CHARGEFPCV04PCB;COMPONENTEFORADOPADRďż˝O;FasePSA;4;ana.cardoso;01/11/202209:08:19;Deine.Costa;04/11/202209:49:15;Aprovado
9492;PSALINHA08;2298;300100080000021;Q92PWRKEYV02PCB;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;ana.cardoso;01/11/202209:08:51;Deine.Costa;04/11/202209:49:16;Aprovado
9493;PSALINHA08;2298;200209100000004;CONJ.TAMPASIMPRESSORAQ92SPAGSEGURO122C;COMPONENTEFORADOPADRďż˝O;FasePSA;1;ana.cardoso;01/11/202209:09:27;Deine.Costa;04/11/202209:49:17;Aprovado
9495;PSALINHA09;2293;2002090100I0853;GABINETEFRONTALDEPLASTICOPRETOS920COMATELASENSIVELAOTOQUE;TOUCHSCREENNďż˝OATUA(TP);Fornecedor;5;jacqueline.taveira;01/11/202209:54:04;debora.gomes;01/11/202211:42:18;Aprovado
9496;PSALINHA09;2293;2002090100I0853;GABINETEFRONTALDEPLASTICOPRETOS920COMATELASENSIVELAOTOQUE;TOUCHSCREENNďż˝OATUA(TP);Fornecedor;5;jacqueline.taveira;01/11/202209:56:12;debora.gomes;01/11/202211:42:19;Aprovado
9497;PSALINHA12;2279;2002090100I1071;GABINETEFRONTALD195STONETON2.0MONTADO;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;jose.junior;01/11/202209:56:48;debora.gomes;01/11/202214:36:04;Aprovado
9498;PSALINHA12;2279;2002090100I1071;GABINETEFRONTALD195STONETON2.0MONTADO;FALHANASERIGRAFIA;Fornecedor;1;jose.junior;01/11/202209:58:20;debora.gomes;01/11/202214:36:05;Aprovado
9499;PSALINHA09;2293;2002090100I0853;GABINETEFRONTALDEPLASTICOPRETOS920COMATELASENSIVELAOTOQUE;GABINETEFRONTALCOMRISCO;Fornecedor;2;jacqueline.taveira;01/11/202209:58:41;debora.gomes;01/11/202211:42:21;Aprovado
9500;PSALINHA12;2279;200212000000309;D195G510/H330S850/900/1800/1900/2100MHZV02GPRS/WCDMAANTENNAFPC;COMPONENTEPSADANIFICADO;FasePSA;1;jose.junior;01/11/202209:58:55;debora.gomes;01/11/202214:36:22;Aprovado
9501;PSALINHA12;2279;2002090100I1071;GABINETEFRONTALD195STONETON2.0MONTADO;COMPONENTEFORADOPADRďż˝O;Fornecedor;2;jose.junior;01/11/202210:01:06;debora.gomes;01/11/202214:36:25;Aprovado
9502;PSALINHA12;2279;501400000000028;LCD240x3202.4inch8BitTFTD190LCMVTT024QVB21Code28BRILLIANT;COMPONENTEFORADOPADRďż˝O;Fornecedor;7;jose.junior;01/11/202210:02:28;debora.gomes;01/11/202214:36:28;Aprovado
9503;PSALINHA12;2279;502200000000007;D190MAGV01/V03MAGNETICREADER1/2/3TRACKS;COMPONENTEFORADOPADRďż˝O;Fornecedor;2;jose.junior;01/11/202210:04:35;debora.gomes;01/11/202214:36:31;Aprovado
9504;PSALINHA12;2279;502200000000007;D190MAGV01/V03MAGNETICREADER1/2/3TRACKS;COMPONENTEPSADANIFICADO;FasePSA;1;jose.junior;01/11/202210:05:25;debora.gomes;01/11/202214:36:37;Aprovado
9505;PSALINHA12;2279;200209130000091;D195RUBBERKEYSTONETON;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;jose.junior;01/11/202210:06:01;debora.gomes;01/11/202214:36:40;Aprovado
9506;PSALINHA09;2293;200209080000047;footpadtransparentsiliconrubber.O.D8.5mm.height6mm;SCRAP;Fornecedor;22;jacqueline.taveira;01/11/202210:06:35;debora.gomes;01/11/202211:42:23;Aprovado
9507;PSALINHA09;2293;200499000000046;SpongycushionD200shieldingcanspongewasher;SCRAP;Fornecedor;14;jacqueline.taveira;01/11/202210:07:47;debora.gomes;01/11/202211:42:26;Aprovado
9508;PSALINHA12;2279;20030500AHN0114;CAIXAINDIVIDUALCOMBERCOACOPLASDOD195STONETONVERDEFRIM;COMPONENTEFORADOPADRďż˝O;Fornecedor;3;jose.junior;01/11/202210:08:59;debora.gomes;01/11/202214:36:43;Aprovado
9510;PSALINHA02;2295;20030500AHN0098;CAIXAINDIVIDUAL.P2B.CARTAOSICOOB.233X86X80TECTOYREV02;COMPONENTEPSADANIFICADO;FasePSA;2;stanley.mourao;01/11/202210:10:28;Deine.Costa;04/11/202209:52:14;Aprovado
9513;PSALINHA09;2293;301601010000087;S920Cielochargerplug.4PIN.vertical.PR;SCRAP;Fornecedor;1;jacqueline.taveira;01/11/202210:11:06;debora.gomes;01/11/202211:42:28;Aprovado
9522;PSALINHA07;2293;20050300AHN0004;COLMEIA361X184TECTOYREV00;COMPONENTEPSADANIFICADO;FasePSA;1;lucas.souza;01/11/202210:30:34;debora.gomes;01/11/202211:42:34;Aprovado
9523;PSALINHA07;2293;2002090100I0853;GABINETEFRONTALDEPLASTICOPRETOS920COMATELASENSIVELAOTOQUE;TOUCHSCREENNďż˝OATUA(TP);Fornecedor;4;lucas.souza;01/11/202210:31:24;debora.gomes;01/11/202211:42:36;Aprovado
9524;PSALINHA07;2293;501400000000038;320X2403.5INCHS920TFTLCD;IMAGEMANORMAL;Fornecedor;22;lucas.souza;01/11/202210:33:35;debora.gomes;01/11/202211:42:37;Aprovado
9525;PSALINHA07;2293;20010117CAD0004;PLACADECIRCUITOIMPRESSOMONTADAS920RFANTENNAV03;RFNďż˝OATUA(PICCOPEN);Fornecedor;3;lucas.souza;01/11/202210:35:16;debora.gomes;01/11/202211:42:39;Aprovado
9526;PSALINHA07;2293;502200000000004;CABECAMAGNETICA,PARALEITURADECARTAOMAGNETICOGRAVADO,S9201/2/3;ERROLEITURACARTďż˝OMAG.(MSR);Fornecedor;6;lucas.souza;01/11/202210:37:36;debora.gomes;01/11/202211:42:41;Aprovado
9527;PSALINHA07;2293;300100030000139;S920KEYMESHV03PCBKEYMESHDOMEcarbongranuleSplendid;TECLASNďż˝OATUAM;Fornecedor;1;lucas.souza;01/11/202210:38:19;debora.gomes;01/11/202211:42:44;Aprovado
9528;PSALINHA07;2293;200212000000077;ANTENNAS92040MMH330SQ3020850/900/1900/2100MHZV03WCDMAANTENNA;WNET;FALHANACONEXďż˝O(WNET);Fornecedor;1;lucas.souza;01/11/202210:38:41;debora.gomes;01/11/202211:42:46;Aprovado
