QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
0,9407,Valley.OfBowser3,2310,200209030000350,VISOR_TRINCADO,Fornecedor,11.0,Homem.DeFerro,31/10/2022,16:28:37,Coronel.Robert,01/11/2022,07:31:47,Aprovado
1,9413,Valley.OfBowser3,2310,200209030000350,VISOR_FALHA_INJEÇÃO,Fornecedor,5.0,Homem.DeFerro,31/10/2022,16:33:03,Coronel.Robert,01/11/2022,07:31:50,Aprovado
2,9415,Valley.OfBowser3,2310,200209030000350,VISOR_COM_MANCHA,Fornecedor,1.0,Homem.DeFerro,31/10/2022,16:34:26,Coronel.Robert,01/11/2022,07:32:03,Aprovado
3,9423,Valley.OfBowser3,2310,200209030000350,VISOR_COM_RISCO,Fornecedor,4.0,Homem.DeFerro,31/10/2022,16:41:24,Coronel.Robert,01/11/2022,07:32:05,Aprovado
4,9424,Valley.OfBowser3,2310,2002090100N0009,GABINETE_DANIFICADO,Fornecedor,1.0,Homem.DeFerro,31/10/2022,16:42:36,Coronel.Robert,01/11/2022,07:32:07,Aprovado
5,9425,Valley.OfBowser3,2305,2002090100N1002,GABINETE_FALHA_INJEÇÃO_PLAST,Fornecedor,1.0,Homem.DeFerro,31/10/2022,16:45:20,Coronel.Robert,01/11/2022,07:32:10,Aprovado
6,9426,Valley.OfBowser3,2310,200209030000350,FALHA_NA_SERIGRAFIA,Fornecedor,2.0,Homem.DeFerro,31/10/2022,16:46:34,Coronel.Robert,01/11/2022,07:32:12,Aprovado
7,9428,Valley.OfBowser3,2310,200209030000350,VISOR_FALHA_INJEÇÃO,Fornecedor,1.0,Homem.DeFerro,31/10/2022,16:48:24,Coronel.Robert,01/11/2022,07:32:16,Aprovado
8,9431,Valley.OfBowser3,2306,2002090100N0069,GABINETE_DANIFICADO,Fornecedor,1.0,Homem.DeFerro,31/10/2022,16:52:11,Coronel.Robert,01/11/2022,07:32:19,Aprovado
9,9433,Valley.OfBowser3,2310,20010117CAD0002,ANTENA_DANIFICADA,Estrela.DaMorte,5.0,Homem.DeFerro,31/10/2022,16:53:57,Coronel.Robert,01/11/2022,07:32:21,Aprovado
10,9435,Valley.OfBowser3,2310,200209030000350,VISOR_COM_RISCO,Estrela.DaMorte,9.0,Homem.DeFerro,31/10/2022,17:01:52,Coronel.Robert,01/11/2022,07:32:24,Aprovado
11,9463,Cheese.Bridge,2298,200209010000002,IMAGEM_ANORMAL,Akira.Toriyama,5.0,Viuva.negra,01/11/2022,08:45:10,Luke.Skywalker,04/11/2022,09:48:46,Aprovado
12,9464,Cheese.Bridge,2298,200209010000002,TOUCHSCREEN_NÃO_ATUA(TP),Akira.Toriyama,6.0,Viuva.negra,01/11/2022,08:45:39,Luke.Skywalker,04/11/2022,09:48:50,Aprovado
13,9465,Cheese.Bridge,2298,200209010000002,GABINETE_ESPANADO,Estrela.DaMorte,2.0,Viuva.negra,01/11/2022,08:46:28,Luke.Skywalker,04/11/2022,09:48:53,Aprovado
14,9466,Butter.Bridge,2286,200209010000002,TOUCHSCREEN_NÃO_ATUA(TP),Xi.Jinping,4.0,Bruce.Wayne,01/11/2022,08:46:40,Luke.Skywalker,04/11/2022,09:51:31,Aprovado
15,9467,Cheese.Bridge,2298,200209010000002,VISOR_DANIFICADO,Estrela.DaMorte,2.0,Viuva.negra,01/11/2022,08:47:16,Luke.Skywalker,04/11/2022,09:48:54,Aprovado
16,9471,Butter.Bridge,2286,200209020000003,SEM_ÁUDIO,Xi.Jinping,1.0,Bruce.Wayne,01/11/2022,08:48:25,Luke.Skywalker,04/11/2022,09:51:41,Aprovado
17,9472,Butter.Bridge,2286,200209020000003,CONJ.FORA_DO_PADRÃO,Akira.Toriyama,1.0,Bruce.Wayne,01/11/2022,08:48:52,Luke.Skywalker,04/11/2022,09:51:50,Aprovado
18,9473,Butter.Bridge,2286,200212000000420,COMPONENTE_PSA_DANIFICADO,Rework,1.0,Bruce.Wayne,01/11/2022,08:49:32,Luke.Skywalker,04/11/2022,09:51:53,Aprovado
19,9474,Butter.Bridge,2286,200212000000421,COMPONENTE_PSA_DANIFICADO,Rework,1.0,Bruce.Wayne,01/11/2022,08:49:52,Luke.Skywalker,04/11/2022,09:51:57,Aprovado
20,9475,Cheese.Bridge,2298,200209010000002,TOUCHSCREEN_NÃO_ATUA(TP),Akira.Toriyama,8.0,Viuva.negra,01/11/2022,08:54:44,Luke.Skywalker,04/11/2022,09:48:55,Aprovado
21,9476,Cheese.Bridge,2298,200209010000002,IMAGEM_ANORMAL,Akira.Toriyama,1.0,Viuva.negra,01/11/2022,08:55:12,Luke.Skywalker,04/11/2022,09:48:56,Aprovado
22,9477,Butter.Bridge,2286,200209120000276,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,2.0,Bruce.Wayne,01/11/2022,08:55:33,Luke.Skywalker,04/11/2022,09:52:04,Aprovado
23,9478,Cheese.Bridge,2298,200209010000002,TOUCHSCREEN_NÃO_ATUA(TP),Akira.Toriyama,1.0,Viuva.negra,01/11/2022,08:55:49,Luke.Skywalker,04/11/2022,09:48:57,Aprovado
24,9479,Butter.Bridge,2286,200212000000420,COMPONENTE_FORA_DO_PADRÃO,Xi.Jinping,1.0,Bruce.Wayne,01/11/2022,08:55:59,Luke.Skywalker,04/11/2022,09:52:00,Aprovado
25,9480,Cheese.Bridge,2298,200203020000058,COMPONENTE_FORA_DO_PADRÃO,EngdeProcesso,3.0,Viuva.negra,01/11/2022,08:56:24,Luke.Skywalker,04/11/2022,09:48:58,Aprovado
26,9481,Cheese.Bridge,2298,200101990000700,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,4.0,Viuva.negra,01/11/2022,08:57:07,Luke.Skywalker,04/11/2022,09:49:00,Aprovado
27,9482,Cheese.Bridge,2298,200101990000700,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,4.0,Viuva.negra,01/11/2022,08:57:30,Luke.Skywalker,04/11/2022,09:49:01,Aprovado
28,9483,Cheese.Bridge,2298,200209050000562,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Viuva.negra,01/11/2022,08:58:07,Luke.Skywalker,04/11/2022,09:49:02,Aprovado
29,9484,Cheese.Bridge,2298,200499000000394,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,01/11/2022,08:58:53,Luke.Skywalker,04/11/2022,09:49:05,Aprovado
30,9485,Cheese.Bridge,2298,200405000000313,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,2.0,Viuva.negra,01/11/2022,08:59:23,Luke.Skywalker,04/11/2022,09:49:06,Aprovado
31,9486,Cheese.Bridge,2298,20010101CAD0135,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Viuva.negra,01/11/2022,09:00:41,Luke.Skywalker,04/11/2022,09:49:07,Aprovado
32,9487,Cheese.Bridge,2298,20010118CAD0016,COMPONENTE_FORA_DO_PADRÃO,Estrela.DaMorte,1.0,Viuva.negra,01/11/2022,09:01:10,Luke.Skywalker,04/11/2022,09:49:08,Aprovado
33,9488,Cheese.Bridge,2298,200212000000421,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,3.0,Viuva.negra,01/11/2022,09:06:45,Luke.Skywalker,04/11/2022,09:49:09,Aprovado
34,9489,Cheese.Bridge,2298,200212000000422,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,3.0,Viuva.negra,01/11/2022,09:07:23,Luke.Skywalker,04/11/2022,09:49:11,Aprovado
